Each set of data will be proceeded by a header in square brackets: [].

[DESCRIPTION]
notableTrait,knownFor,calamity
a population of mostly wealthy people,flowers,being besieged by enemies

[PEOPLE]
Id,FirstName,LastName,Caste,RaceFrequency,Race,Age,Gender,Family,Spouse,Appearance,Strength,Weakness,Talent,Manuerism,Interaction,GoodOrEvilIdeal,LawfulOrChaoticIdeal,NeutralOrOtherIdeal,Bond,FlawOrSecret,RaceAge,ownedBusiness,worksAt
"78","JEANETTE","FERRO","Tradesmen","Common","Human","27","Female","FERRO [35]","VYACHESLAV FERRO","Distinctive jewelry: earrings, necklace, circlet, bracelets","Charisma - persuasive, forceful, born leader","Constitution - sickly, pale","Expert cook","Particularly low or high voice","Irritable","Respect or Retribution","Fairness or Creativity","Moderation or Nation","Captivated by a romantic interest and Protective of a sentimental keepsake","Possession of forbidden lore","27","","THE BLESSED SPIRIT SHRINE"
"79","AVDOTYA","BOYD","Tradesmen","Common","Human","21","Female","BOYD [36]","FILIPP BOYD","Nervous eye twitch","Dexterity - lithe, agile, graceful","Constitution - sickly, pale","Skilled dancer","Speaks in rhyme or some other peculiar way","Ponderous","Charity or Greed","Tradition or Whimsy","People or Self-knowledge","Protective of a sentimental keepsake","Forbidden love or susceptibility to romance","21","","THE DRUNKEN EDGE"
"80","CORNELIS","MASSON","Tradesmen","Common","Human","25","Male","MASSON [25]","MORVEN MASSON","Missing fingers","Dexterity - lithe, agile, graceful","Intelligence - dim-witted, slow","Skilled dancer","Chews something","Quiet","Self-sacrifice or Slaughter","Honor or Freedom","Knowledge or Discovery","Protective of a sentimental keepsake","Secret crime or misdeed","25","","JUSTINA'S WORKSHOP"
"81","OLIVER","CECIL","Tradesmen","Common","Human","20","Male","CECIL [26]","HEGE CECIL","Pronounced scar","Constitution - hardy, hale, healthy","Wisdom - oblivious, absentminded","Great at impersonations","Uses colorful oaths and exclamations","Hot tempered","Respect or Retribution","Tradition or Whimsy","Moderation or Nation","Loyal to a benefactor, patron, or employer","Envies another creature’s possessions or station","20","THE DRUNKEN EDGE",""
"82","MAGDALENA","CHEVALIER","Tradesmen","Uncommon","Dwarf","31","Female","CHEVALIER [37]","DIARMAID CHEVALIER","Distinctive nose","Constitution - hardy, hale, healthy","Intelligence - dim-witted, slow","Skilled actor and master of disguise","Particularly low or high voice","Quiet","Charity or Greed","Community or Change","Moderation or Nation","Loyal to a benefactor, patron, or employer","Arrogance","86","","RASPUTIN BREW CO"
"83","MARIE","MACKENZIE","Tradesmen","Common","Human","11","Female","MACKENZIE [31]","","","","","","","","","","","","","11","",""
"84","ALBAN","RASMUSSEN","Tradesmen","Common","Human","14","Male","RASMUSSEN [55]","","Exceptionally beautiful","Wisdom - perceptive, spiritual, insightful","Dexterity - clumsy, fumbling","Sings beautifully","Uses colorful oaths and exclamations","Quiet","Life or Pain","Responsibility or No limits","Balance or Aspiration","Out for revenge and Out for revenge","Specific phobia","14","","RASPUTIN BREW CO"
"85","DOUGLASS","KONSTANTINOV","Tradesmen","Common","Human","5","Male","KONSTANTINOV [32]","","","","","","","","","","","","","5","",""
"86","ADRIENNE","ISAKSEN","Tradesmen","Common","Human","27","Female","ISAKSEN [38]","FLOOR ISAKSEN","Piercings","Wisdom - perceptive, spiritual, insightful","Constitution - sickly, pale","Great at one game","Prone to predictions of doom","Friendly","Charity or Greed","Fairness or Creativity","People or Self-knowledge","Protective of close family members","Foolhardy bravery","27","",""
"87","ADEMARO","JOHANSEN","Tradesmen","Common","Human","14","Male","JOHANSEN [56]","","Ragged, dirty clothes","Dexterity - lithe, agile, graceful","Constitution - sickly, pale","Speaks several languages fluently","Bites fingernails","Honest","Charity or Greed","Community or Change","Balance or Aspiration","Drawn to a special place","Overpowering greed","14","",""
"88","GEOFFROI","MACKENZIE","Tradesmen","Common","Human","29","Male","MACKENZIE [31]","AAVA MACKENZIE","Distinctive posture (crooked or rigid)","Wisdom - perceptive, spiritual, insightful","Strength - feeble, scrawny","Skilled dancer","Squints","Irritable","Self-sacrifice or Slaughter","Tradition or Whimsy","Knowledge or Discovery","Captivated by a romantic interest","Specific phobia","29","",""
"89","FLOOR","ISAKSEN","Tradesmen","Common","Human","30","Female","ISAKSEN [38]","ADRIENNE ISAKSEN","Birthmark","Wisdom - perceptive, spiritual, insightful","Strength - feeble, scrawny","Great with animals","Stares into the distance","Curious","Respect or Retribution","Fairness or Creativity","Moderation or Nation","Dedicated to fulfilling a personal life goal","Specific phobia","30","",""
"90","ANASTASIE","BOGDANOV","Tradesmen","Common","Human","24","Female","BOGDANOV [39]","BRAAM BOGDANOV","Bald","Strength - powerful, brawny, strong as an ox","Charisma - dull, boring","Expert dart thrower and rock skipper","Frequently uses the wrong word","Irritable","Self-sacrifice or Slaughter","Community or Change","Live and let live or Glory","Loyal to a benefactor, patron, or employer","Specific phobia","24","",""
"91","WILMOT","VINTER","Tradesmen","Common","Human","42","Male","VINTER [34]","SYBILLA VINTER","Distinctive jewelry: earrings, necklace, circlet, bracelets","Dexterity - lithe, agile, graceful","Charisma - dull, boring","Drinks everyone under the table","Particularly low or high voice","Arrogant","Greater good or Might","Honor or Freedom","People or Self-knowledge","Captivated by a romantic interest","Shameful or scandalous history","42","",""
"92","DONAL","CLEMENSEN","Tradesmen","Common","Human","3","Male","CLEMENSEN [14]","","","","","","","","","","","","","3","",""
"93","VICTOR","FERRO","Tradesmen","Common","Human","5","Male","FERRO [35]","","","","","","","","","","","","","5","",""
"94","JOEL","ISAKSEN","Tradesmen","Common","Human","4","Male","ISAKSEN [38]","","","","","","","","","","","","","4","",""
"95","HALDOR","KONSTANTINOV","Tradesmen","Common","Human","30","Male","KONSTANTINOV [32]","PHILOMENA KONSTANTINOV","Distinctive jewelry: earrings, necklace, circlet, bracelets","Dexterity - lithe, agile, graceful","Intelligence - dim-witted, slow","Expert dart thrower and rock skipper","Speaks loudly","Irritable","Respect or Retribution","Fairness or Creativity","Knowledge or Discovery","Protective of colleagues or compatriots","Has a powerful enemy","30","",""
"96","ELIN","SAULT","Tradesmen","Common","Human","18","Female","SAULT [40]","GWIL SAULT","Tattoos","Dexterity - lithe, agile, graceful","Intelligence - dim-witted, slow","Sings beautifully","Paces","Hot tempered","Beauty or Domination","Honor or Freedom","People or Self-knowledge","Loyal to a benefactor, patron, or employer","Prone to rage","18","",""
"97","CARLO","CHEVALIER","Tradesmen","Uncommon","Dwarf","9","Male","CHEVALIER [37]","","","","","","","","","","","","","25","",""
"98","CRESCENZO","ROBERT","Tradesmen","Common","Human","62","Male","ROBERT [41]","JENNIE ROBERT","Distinctive jewelry: earrings, necklace, circlet, bracelets","Wisdom - perceptive, spiritual, insightful","Charisma - dull, boring","Great with children","Chews something","Irritable","Respect or Retribution","Logic or Independence","People or Self-knowledge","Dedicated to fulfilling a personal life goal","Specific phobia","62","",""
"99","RUBEN","BERTRAND","Tradesmen","Common","Human","40","Male","BERTRAND [42]","BENEDETTA BERTRAND","Exceptionally ugly","Strength - powerful, brawny, strong as an ox","Intelligence - dim-witted, slow","Perfect memory","Bites fingernails","Curious","Beauty or Domination","Responsibility or No limits","Moderation or Nation","Protective of a valuable possession","Foolhardy bravery","40","",""
"100","BENEDETTA","BERTRAND","Tradesmen","Common","Human","36","Female","BERTRAND [42]","RUBEN BERTRAND","Nervous eye twitch","Dexterity - lithe, agile, graceful","Strength - feeble, scrawny","Draws beautifully","Twirls hair or tugs beard","Honest","Respect or Retribution","Tradition or Whimsy","Balance or Aspiration","Protective of a sentimental keepsake and Loyal to a benefactor, patron, or employer","Forbidden love or susceptibility to romance","36","",""
"101","ALOISIO","OMDAHL","Tradesmen","Common","Human","16","Male","OMDAHL [63]","","Exceptionally ugly","Constitution - hardy, hale, healthy","Intelligence - dim-witted, slow","Expert carpenter","Chews something","Irritable","Greater good or Might","Community or Change","Live and let live or Glory","Protective of a sentimental keepsake","Shameful or scandalous history","16","",""
"102","ESSI","BRODY","Tradesmen","Uncommon","Half-Elf","15","Female","BRODY [311]","","Formal, clean clothes","Dexterity - lithe, agile, graceful","Strength - feeble, scrawny","Skilled actor and master of disguise","Chews something","Arrogant","Life or Pain","Community or Change","Moderation or Nation","Protective of colleagues or compatriots","Forbidden love or susceptibility to romance","16","",""
"103","COSTANTINO","RAYNE","Tradesmen","Uncommon","Half-Elf","38","Male","RAYNE [43]","","Formal, clean clothes","Intelligence - studious, learned, inquisitive","Constitution - sickly, pale","Expert dart thrower and rock skipper","Enunciates overly clearly","Suspicious","Respect or Retribution","Responsibility or No limits","Balance or Aspiration","Loyal to a benefactor, patron, or employer","Prone to rage","42","",""
"104","SHAN","KRAKOWSKI","Tradesmen","Common","Human","8","Female","KRAKOWSKI [50]","","","","","","","","","","","","","8","",""
"105","VIKTORIYA","CHRISTIANSEN","Tradesmen","Rare","Gnome","5","Female","CHRISTIANSEN [312]","","","","","","","","","","","","","11","",""
"106","POLINA","BECK","Tradesmen","Common","Human","34","Female","BECK [44]","KRYSPIN BECK","Ragged, dirty clothes","Intelligence - studious, learned, inquisitive","Constitution - sickly, pale","Unbelievably lucky","Taps fingers","Arrogant","Beauty or Domination","Tradition or Whimsy","People or Self-knowledge","Drawn to a special place and Out for revenge","Has a powerful enemy","34","",""
"107","NAZARIY","LAURITSEN","Tradesmen","Uncommon","Half-Elf","8","Male","LAURITSEN [313]","","","","","","","","","","","","","8","",""
"108","DYMPHNA","MACDOUGALL","Tradesmen","Common","Human","14","Female","MACDOUGALL [66]","","Missing fingers","Constitution - hardy, hale, healthy","Strength - feeble, scrawny","Skilled actor and master of disguise","Squints","Quiet","Charity or Greed","Honor or Freedom","Neutrality or Redemption","Dedicated to fulfilling a personal life goal","Secret crime or misdeed","14","",""
"109","COMGAN","TRAVERE","Tradesmen","Common","Human","3","Male","TRAVERE [23]","","","","","","","","","","","","","3","",""
"110","DAMIEN","KAUFMANN","Tradesmen","Common","Human","45","Male","KAUFMANN [45]","JULIA KAUFMANN","Distinctive posture (crooked or rigid)","Dexterity - lithe, agile, graceful","Intelligence - dim-witted, slow","Great with children","Makes constant jokes or puns","Rude","Self-sacrifice or Slaughter","Tradition or Whimsy","People or Self-knowledge","Protective of a sentimental keepsake","Foolhardy bravery","45","",""
"111","GURO","MARTEL","Tradesmen","Common","Human","10","Female","MARTEL [314]","","","","","","","","","","","","","10","",""
"112","JULIA","KAUFMANN","Tradesmen","Common","Human","37","Female","KAUFMANN [45]","DAMIEN KAUFMANN","Exceptionally beautiful","Constitution - hardy, hale, healthy","Intelligence - dim-witted, slow","Expert carpenter","Whispers","Curious","Beauty or Domination","Responsibility or No limits","Balance or Aspiration","Dedicated to fulfilling a personal life goal","Overpowering greed","37","",""
"113","AILEEN","MACNEIL","Tradesmen","Common","Human","17","Female","MACNEIL [315]","","Distinctive posture (crooked or rigid)","Intelligence - studious, learned, inquisitive","Charisma - dull, boring","Great at one game","Stares into the distance","Quiet","Respect or Retribution","Honor or Freedom","People or Self-knowledge","Out for revenge","Secret crime or misdeed","17","",""
"114","COKKIE","BECK","Tradesmen","Common","Human","19","Female","BECK [46]","ANTON BECK","Distinctive nose","Intelligence - studious, learned, inquisitive","Dexterity - clumsy, fumbling","Great with children","Bites fingernails","Argumentative","Charity or Greed","Fairness or Creativity","Knowledge or Discovery","Captivated by a romantic interest","Overpowering greed","19","",""
"115","EMY","PONTECORVO","Tradesmen","Uncommon","Dwarf","5","Female","PONTECORVO [316]","","","","","","","","","","","","","13","",""
"116","GEORGEI","DESROCHES","Tradesmen","Common","Human","45","Male","DESROCHES [47]","HANNA DESROCHES","Formal, clean clothes","Constitution - hardy, hale, healthy","Wisdom - oblivious, absentminded","Draws beautifully","Prone to predictions of doom","Curious","Greater good or Might","Fairness or Creativity","Knowledge or Discovery","Loyal to a benefactor, patron, or employer","Foolhardy bravery","45","",""
"117","KENYA","MASSON","Tradesmen","Common","Human","22","Female","MASSON [48]","BRIGHID MASSON","Tattoos","Strength - powerful, brawny, strong as an ox","Charisma - dull, boring","Skilled dancer","Squints","Blustering","Self-sacrifice or Slaughter","Responsibility or No limits","Knowledge or Discovery","Drawn to a special place","Secret crime or misdeed","22","",""
"118","HANNA","DESROCHES","Tradesmen","Common","Human","43","Female","DESROCHES [47]","GEORGEI DESROCHES","Nervous eye twitch","Intelligence - studious, learned, inquisitive","Charisma - dull, boring","Paints beautifully","Speaks loudly","Argumentative","Charity or Greed","Fairness or Creativity","Neutrality or Redemption","Dedicated to fulfilling a personal life goal","Secret crime or misdeed","43","",""
"119","KRYSPIN","BECK","Tradesmen","Common","Human","39","Male","BECK [44]","POLINA BECK","Flamboyant or outlandish clothes","Dexterity - lithe, agile, graceful","Charisma - dull, boring","Expert dart thrower and rock skipper","Slurs words, lisps, or stutters","Quiet","Beauty or Domination","Honor or Freedom","People or Self-knowledge","Dedicated to fulfilling a personal life goal","Envies another creature’s possessions or station","39","",""
"120","LASSE","SUTHERLAND","Tradesmen","Common","Human","29","Male","SUTHERLAND [33]","CYRILLE SUTHERLAND","Distinctive jewelry: earrings, necklace, circlet, bracelets","Constitution - hardy, hale, healthy","Intelligence - dim-witted, slow","Sings beautifully","Stares into the distance","Friendly","Self-sacrifice or Slaughter","Logic or Independence","Balance or Aspiration","Captivated by a romantic interest","Forbidden love or susceptibility to romance","29","",""
"121","DAGMAR","DOUGLASS","Tradesmen","Common","Human","17","Female","DOUGLASS [317]","","Piercings","Dexterity - lithe, agile, graceful","Intelligence - dim-witted, slow","Sings beautifully","Whispers","Quiet","Charity or Greed","Responsibility or No limits","Live and let live or Glory","Captivated by a romantic interest","Foolhardy bravery","17","",""
"122","VYACHESLAV","FERRO","Tradesmen","Common","Human","23","Male","FERRO [35]","JEANETTE FERRO","Exceptionally beautiful","Intelligence - studious, learned, inquisitive","Wisdom - oblivious, absentminded","Skilled dancer","Squints","Irritable","Self-sacrifice or Slaughter","Fairness or Creativity","Neutrality or Redemption","Loyal to a benefactor, patron, or employer","Overpowering greed","23","",""
